JobTitle,Gender,Age,Education,BasePay
Software Engineer,Male,21,College,108476
Software Engineer,Male,20,Masters,108080
IT,Female,20,PhD,70890
Software Engineer,Male,18,PhD,97523
Financial Analyst,Female,19,College,84007
Financial Analyst,Female,23,PhD,88422
Data Scientist,Female,30,College,92067
Financial Analyst,Male,24,PhD,83323
Software Engineer,Male,21,PhD,132823
Software Engineer,Male,19,Masters,100305
Software Engineer,Male,20,Masters,66359
Software Engineer,Male,27,PhD,96040
IT,Female,33,College,84638
IT,Male,19,College,78986
Data Scientist,Male,29,PhD,96355
Data Scientist,Male,32,PhD,87121
Software Engineer,Male,31,PhD,88724
Software Engineer,Male,25,Masters,119024
Software Engineer,Male,22,Masters,81503
Data Scientist,Female,21,PhD,70643
Software Engineer,Male,18,Masters,89474
Data Scientist,Female,33,Masters,89415
Software Engineer,Female,22,Masters,88037
Data Scientist,Female,24,College,71105
Financial Analyst,Male,18,PhD,97328
Software Engineer,Male,19,PhD,88814
Data Scientist,Male,18,PhD,59212
Financial Analyst,Male,29,Masters,111019
Data Scientist,Female,32,PhD,46693
Software Engineer,Male,26,PhD,68466
Software Engineer,Male,18,College,80355
Financial Analyst,Female,21,Masters,91978
Financial Analyst,Male,26,College,106194
Financial Analyst,Female,29,Masters,88047
IT,Female,26,College,53956
Financial Analyst,Male,26,College,104435
Software Engineer,Female,28,PhD,103763
Data Scientist,Male,28,Masters,97625
IT,Male,18,Masters,69855
Software Engineer,Male,24,Masters,79208
IT,Female,29,Masters,72542
IT,Female,30,Masters,80981
Software Engineer,Male,33,PhD,87352
IT,Male,20,PhD,74073
Software Engineer,Male,26,College,77309
Software Engineer,Male,18,Masters,88482
Data Scientist,Female,32,College,78623
IT,Female,34,College,54245
Software Engineer,Male,27,Masters,66084
Financial Analyst,Male,35,PhD,98900
IT,Male,19,College,78113
Financial Analyst,Male,24,Masters,67749
Financial Analyst,Female,30,Masters,114007
Data Scientist,Male,24,Masters,60736
Financial Analyst,Male,33,Masters,69878
IT,Female,22,Masters,37780
Financial Analyst,Male,19,Masters,60892
Data Scientist,Female,29,College,59458
Financial Analyst,Male,30,Masters,83620
Data Scientist,Male,23,Masters,62753
Software Engineer,Female,28,College,112491
Financial Analyst,Female,35,Masters,67762
Financial Analyst,Male,35,College,90307
Data Scientist,Male,19,PhD,80171
Financial Analyst,Male,20,PhD,78564
Data Scientist,Male,28,Masters,82850
IT,Male,18,PhD,56309
IT,Male,34,College,91066
Software Engineer,Male,29,Masters,92099
Software Engineer,Male,20,PhD,92289
Data Scientist,Male,31,College,75227
Software Engineer,Male,30,Masters,113122
Data Scientist,Female,34,PhD,82345
Data Scientist,Male,32,PhD,103908
Software Engineer,Male,30,College,76654
Financial Analyst,Male,22,PhD,69320
Financial Analyst,Male,32,Masters,78132
IT,Male,23,PhD,64468
Software Engineer,Male,35,Masters,110886
IT,Male,33,College,88749
Financial Analyst,Male,20,PhD,105601
Software Engineer,Male,30,College,83264
Data Scientist,Male,35,College,98959
Data Scientist,Female,33,College,73798
Financial Analyst,Female,23,College,101534
Financial Analyst,Female,26,College,48570
Software Engineer,Male,23,Masters,95754
Data Scientist,Male,27,College,57915
IT,Female,18,Masters,45747
IT,Male,27,PhD,90542
Financial Analyst,Male,31,PhD,79142
Software Engineer,Male,23,PhD,79462
IT,Female,28,PhD,105598
Data Scientist,Male,30,College,72497
IT,Male,20,PhD,49622
Financial Analyst,Male,24,PhD,71590
Software Engineer,Male,32,College,71278
IT,Male,35,College,98423
IT,Female,26,PhD,111770
IT,Male,33,Masters,106584
Financial Analyst,Male,31,PhD,82790
Financial Analyst,Female,20,College,76908
IT,Female,26,College,81325
Software Engineer,Male,32,College,128680
Data Scientist,Female,21,PhD,65816
IT,Male,33,Masters,84878
IT,Female,27,Masters,55560
Data Scientist,Male,26,Masters,90526
Financial Analyst,Female,33,PhD,50758
Software Engineer,Male,31,College,106503
Software Engineer,Male,22,College,67913
Financial Analyst,Male,27,PhD,99134
IT,Male,31,Masters,93358
Financial Analyst,Male,29,Masters,84725
IT,Male,31,College,49449
